trait,qtl,ID,chr,start,end,symbol,Note
i_dry_gxe,m_4_41028,AT4G00880,Chr4,366373,367274,"",SAUR-like auxin-responsive protein family
i_dry_gxe,m_5_4110711,AT5G12050,Chr5,3889906,3891514,"",rho GTPase-activating protein
i_dry_gxe,m_5_4110711,AT5G13220,Chr5,4218786,4221077,JAZ10,jasmonate-zim-domain protein 10
i_dry_gxe,m_5_4110711,AT5G13330,Chr5,4271730,4274674,Rap2.6L,related to AP2 6l
i_dry_gxe,m_5_4110711,AT5G14750,Chr5,4763372,4764834,MYB66,myb domain protein 66
i_dry_gxe,m_5_4110711,AT5G14760,Chr5,4768263,4772153,AO,L-aspartate oxidase
i_dry_gxe,m_5_4110711,AT5G15150,Chr5,4913699,4915976,HB-3,homeobox 3
i_dry_gxe,m_5_4110711,AT5G15160,Chr5,4921243,4922812,BNQ2,BANQUO 2
r_dry_gxe,m_4_41028,AT4G00820,Chr4,349025,351550,iqd17,IQ-domain 17
r_dry_gxe,m_4_41028,AT4G00880,Chr4,366373,367274,"",SAUR-like auxin-responsive protein family
r_dry_gxe,m_4_8938713,AT4G15210,Chr4,8666334,8669526,BAM5,beta-amylase 5
r_dry_gxe,m_4_8938713,AT4G15440,Chr4,8835368,8838676,HPL1,hydroperoxide lyase 1
r_dry_gxe,m_4_8938713,AT4G16250,Chr4,9195247,9199840,PHYD,phytochrome D
r_dry_gxe,m_4_8938713,AT4G16260,Chr4,9199972,9201643,"",Glycosyl hydrolase superfamily protein
r_dry_gxe,m_4_8938713,AT4G16500,Chr4,9300721,9302434,"",Cystatin/monellin superfamily protein
r_dry_gxe,m_4_8938713,AT4G16515,Chr4,9305166,9305845,RGF6,root meristem growth factor
r_dry_gxe,m_4_8938713,AT4G16780,Chr4,9449114,9450905,HB-2,homeobox protein 2
r_dry_gxe,m_5_25961748,AT5G64120,Chr5,25659257,25661007,"",Peroxidase superfamily protein
r_dry_gxe,m_5_25961748,AT5G64850,Chr5,25921402,25923418,"",sorbin/SH3 domain protein
r_dry_gxe,m_5_3142427,AT5G10140,Chr5,3173382,3179448,FLC,K-box region and MADS-box transcription factor family protein
r_dry_gxe,m_5_3142427,AT5G11190,Chr5,3564824,3566260,SHN2,Integrase-type DNA-binding superfamily protein
r_dry_gxe,m_5_3142427,AT5G11260,Chr5,3593335,3595073,HY5,Basic-leucine zipper (bZIP) transcription factor family protein
r_dry_gxe,m_5_3142427,AT5G11320,Chr5,3611247,3613640,YUC4,Flavin-binding monooxygenase family protein
r_dry_gxe,m_5_3142427,AT5G12050,Chr5,3889906,3891514,"",rho GTPase-activating protein
r_dry_gxe,m_5_3142427,AT5G13220,Chr5,4218786,4221077,JAZ10,jasmonate-zim-domain protein 10
