AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT5G18050,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18020.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,17.31,3.47,0,0,,#N/A,#N/A
AT3G59900,"Encodes ARGOS (Auxin-Regulated Gene Involved in Organ Size).  Inducible by auxin.  Involved in lateral organ size control. Transgenic plants expressing sense or antisense ARGOS cDNA display enlarged or reduced aerial organs, respectively. The alteration in organ size is attributable mainly to changes in cell number and the duration of organ growth.AUXIN-REGULATED GENE INVOLVED IN ORGAN SIZE (ARGOS); BEST Arabidopsis thaliana protein match is: ARGOS-like (TAIR:AT2G44080.1); Has 87 Blast hits to 87 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",18.14,3.43,2.85E-13,2.08223E-10,251436_at,2.468,12.71
AT1G29460,SAUR-like auxin-responsive protein family ; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to auxin stimulus; LOCATED IN: mitochondrion; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT1G29500.1); Has 775 Blast hits to 762 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 775; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,17.83,3.41,1E-15,5.76E-13,259787_at,1.983,4.086
AT2G22810,"key regulatory enzyme in the biosynthesis of the plant hormone ethylene. ACS4 is specifically induced by indoleacetic acid (IAA).1-aminocyclopropane-1-carboxylate synthase 4 (ACS4); CONTAINS InterPro DOMAIN/s: 1-aminocyclopropane-1-carboxylate synthase (InterPro:IPR001176), Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Aminotransferase, class I/classII (InterPro:IPR004839), Aminotransferases, class-I, pyridoxal-phosphate-binding site (InterPro:IPR004838), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (InterPro:IPR015422); BEST Arabidopsis thaliana protein match is: 1-amino-cyclopropane-1-carboxylate synthase 8 (TAIR:AT4G37770.1); Has 28174 Blast hits to 28171 proteins in 2873 species: Archae - 784; Bacteria - 19102; Metazoa - 651; Fungi - 724; Plants - 1302; Viruses - 0; Other Eukaryotes - 5611 (source: NCBI BLink).",18.44,3.22,2.52349E-10,1.03392E-07,266830_at,3.537,6.771
AT1G20900,"Encodes an AT hook domain containing protein that acts redundantly with SOB3 to modulate hypocotyl growth inhibition in response to light.ESCAROLA (ESC); CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF296 (InterPro:IPR005175), Predicted AT-hook DNA-binding (InterPro:IPR014476); BEST Arabidopsis thaliana protein match is: Predicted AT-hook DNA-binding family protein (TAIR:AT1G76500.1); Has 2335 Blast hits to 2120 proteins in 205 species: Archae - 0; Bacteria - 577; Metazoa - 531; Fungi - 95; Plants - 869; Viruses - 15; Other Eukaryotes - 248 (source: NCBI BLink).",19.26,3.19,5.01848E-07,0.000117906,262805_at,#N/A,4
AT5G52900,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,15.28,3.19,0,0,248282_at,10.31,3.687
AT1G52830,"An extragenic dominant suppressor of the hy2 mutant phenotype. Also exhibits aspects of constitutive photomorphogenetic phenotype in the absence of hy2. Mutants have dominant leaf curling phenotype shortened hypocotyls and reduced apical hook. Induced by indole-3-acetic acid.indole-3-acetic acid 6 (IAA6); CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 19 (TAIR:AT3G15540.1); Has 1737 Blast hits to 1736 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1736; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",19.31,3.10,1.30076E-06,0.000280138,260152_at,#N/A,8.913
AT1G67265,ROTUNDIFOLIA like 21 (RTFL21); CONTAINS InterPro DOMAIN/s: DVL (InterPro:IPR012552); BEST Arabidopsis thaliana protein match is: ROTUNDIFOLIA like 18 (TAIR:AT5G16023.1); Has 118 Blast hits to 118 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,19.35,3.01,5.4466E-06,0.000994507,,#N/A,#N/A
AT5G02540,"NAD(P)-binding Rossmann-fold superfamily protein; FUNCTIONS IN: oxidoreductase activity, binding, catalytic activity; INVOLVED IN: oxidation reduction, metabolic process; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NAD(P)-binding domain (InterPro:IPR016040), Glucose/ribitol dehydrogenase (InterPro:IPR002347), Short-chain dehydrogenase/reductase SDR (InterPro:IPR002198); BEST Arabidopsis thaliana protein match is: NAD(P)-binding Rossmann-fold superfamily protein (TAIR:AT2G37540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",15.94,2.98,0,0,251013_at,10.74,#N/A
AT5G51810,"Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock.gibberellin 20 oxidase 2 (GA20OX2); CONTAINS InterPro DOMAIN/s: Isopenicillin N synthase (InterPro:IPR002283), Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123); BEST Arabidopsis thaliana protein match is: 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (TAIR:AT4G25420.1); Has 8534 Blast hits to 8499 proteins in 990 species: Archae - 0; Bacteria - 1114; Metazoa - 120; Fungi - 1000; Plants - 4903; Viruses - 0; Other Eukaryotes - 1397 (source: NCBI BLink).",18.57,2.96,6.23563E-09,2.15978E-06,248371_at,#N/A,#N/A
AT5G46240,"Encodes a potassium channel protein (KAT1). ABA triggers KAT1 endocytosis  both in epidermal cells as  well as guard cells. Upon removal of ABA, KAT1 is recycled back to the plasma membrane. KAT1 is localized  within 0.5ñ0.6 &#956;m diameter microdomains at the  plasma membrane surface.  KAT1 belongs to the Shaker family K+ channel. This family includes five groups based on phylogenetic analysis (FEBS Letters (2007) 581: 2357): I (inward rectifying channel): AKT1 (AT2G26650), AKT5 (AT4G32500) and SPIK (also known as AKT6, AT2G25600); II (inward rectifying channel): KAT1 (AT5G46240) and KAT2 (AT4G18290); III (weakly inward rectifying channel): AKT2 (AT4G22200); IV (regulatory subunit involved in inwardly rectifying conductance formation): KAT3 (also known as AtKC1, AT4G32650); V (outward rectifying channel): SKOR (AT3G02850) and GORK (AT5G37500).potassium channel in Arabidopsis thaliana 1 (KAT1); CONTAINS InterPro DOMAIN/s: Cyclic nucleotide-binding (InterPro:IPR000595), Cyclic nucleotide-binding-like (InterPro:IPR018490), Ion transport (InterPro:IPR005821), Potassium channel, voltage-dependent, EAG/ELK/ERG (InterPro:IPR003938), RmlC-like jelly roll fold (InterPro:IPR014710), Protein of unknown function DUF3354 (InterPro:IPR021789); BEST Arabidopsis thaliana protein match is: potassium channel in Arabidopsis thaliana 2 (TAIR:AT4G18290.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",14.98,2.94,0,0,248888_at,2.664,#N/A
AT4G16780,"ATHB-2. Encodes a homeodomain-leucine zipper protein that is rapidly and strongly induced by changes in the ratio of red to far-red light.  It is also involved in cell expansion and cell proliferation and in the response to auxin.homeobox protein 2 (HB-2); CONTAINS InterPro DOMAIN/s: HD-ZIP protein, N-terminal (InterPro:IPR006712), Helix-turn-helix motif, lambda-like repressor (InterPro:IPR000047), Homeobox (InterPro:IPR001356), Homeobox, conserved site (InterPro:IPR017970), Homeodomain-like (InterPro:IPR009057), Leucine zipper, homeobox-associated (InterPro:IPR003106), Homeodomain-related (InterPro:IPR012287); BEST Arabidopsis thaliana protein match is: Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein (TAIR:AT5G47370.1); Has 7230 Blast hits to 7123 proteins in 465 species: Archae - 0; Bacteria - 0; Metazoa - 4716; Fungi - 327; Plants - 2046; Viruses - 18; Other Eukaryotes - 123 (source: NCBI BLink).",15.99,2.93,0,0,245276_at,29.53,9.483
AT3G03850,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT3G03830.1); Has 1105 Blast hits to 1099 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1104; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,17.75,2.81,1.3802E-11,7.72826E-09,,#N/A,#N/A
AT1G15580,"auxin induced proteinindole-3-acetic acid inducible 5 (IAA5); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus, response to cyclopentenone, response to brassinosteroid stimulus; LOCATED IN: nucleus; EXPRESSED IN: flower; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 19 (TAIR:AT3G15540.1); Has 1807 Blast hits to 1806 proteins in 79 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1806; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",17.87,2.80,1.04818E-10,4.65433E-08,261766_at,7.397,19.88
AT3G62100,"Encodes a member of the Aux/IAA family of proteins implicated in auxin signaling. IAA30 lacks the conserved degron (domain II) found in many family members.  IAA30 transcripts are induced by auxin treatment and accumulate preferentially in the quiescent center cells of the root meristem. Overexpression of IAA30 leads to defects in gravitropism, root development, root meristem maintenance, and cotyledon vascular development. Target of LEC2 and AGL15. Promotes somatyic embryogenesis.indole-3-acetic acid inducible 30 (IAA30); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: gravitropism, response to auxin stimulus, response to cyclopentenone, somatic embryogenesis, root development; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 20 (TAIR:AT2G46990.1); Has 1798 Blast hits to 1798 proteins in 77 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1797; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",18.29,2.78,1.90536E-08,5.98266E-06,251246_at,15.76,6.032
AT5G66580,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G50800.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,15.02,2.76,0,0,,#N/A,#N/A
AT5G12050,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13980.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,14.59,2.67,0,0,250327_at,4.6,10.76
AT5G66080,"Protein phosphatase 2C family protein; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT3G51370.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",17.01,2.64,2E-14,1.6492E-11,247126_at,#N/A,3.139
AT1G21050,"Protein of unknown function, DUF617; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF617, plant (InterPro:IPR006460); BEST Arabidopsis thaliana protein match is: Protein of unknown function, DUF617 (TAIR:AT1G76610.1); Has 257 Blast hits to 256 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 257; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",16.02,2.63,0,0,261456_at,6.615,12.69
AT3G42800,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54200.1); Has 853 Blast hits to 340 proteins in 98 species: Archae - 0; Bacteria - 94; Metazoa - 145; Fungi - 62; Plants - 95; Viruses - 0; Other Eukaryotes - 457 (source: NCBI BLink).,18.37,2.62,1.3006E-07,3.44065E-05,252765_at,#N/A,2.161
AT5G18060,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G18050.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,17.15,2.62,1.56E-13,1.22175E-10,250012_x_at,5.927,9.084
